date,time,amount,direction,counterparty,description,ref_id,category
2024-10-01,01:57,40844,debit,Mutual Fund,Payment related to Mutual Fund,UTR100042,Investment
2024-10-01,02:09,39258,debit,SBI Securities,Payment related to SBI Securities,UTR100043,Investment
2024-10-02,16:39,34411,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100044,Salary
2024-10-02,00:06,42331,debit,House Owner,Payment related to House Owner,UTR100045,Rent
2024-10-03,13:00,5899,debit,Zomato,Payment related to Zomato,UTR100046,Food
2024-10-03,00:20,30717,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100047,Salary
2024-10-03,20:07,596,debit,Amazon,Payment related to Amazon,UTR100048,Shopping
2024-10-04,07:07,16287,debit,Self Account,Payment related to Self Account,UTR100049,Transfer
2024-10-04,01:06,22208,debit,House Owner,Payment related to House Owner,UTR100050,Rent
2024-10-04,04:51,42602,debit,SBI Securities,Payment related to SBI Securities,UTR100051,Investment
2024-10-05,23:07,19266,debit,Netflix,Payment related to Netflix,UTR100052,Entertainment
2024-10-05,09:17,16008,debit,Amazon,Payment related to Amazon,UTR100053,Shopping
2024-10-05,05:12,19968,debit,Dominos,Payment related to Dominos,UTR100054,Food
2024-10-07,13:39,5635,debit,BookMyShow,Payment related to BookMyShow,UTR100055,Entertainment
2024-10-07,23:09,14895,debit,BSNL,Payment related to BSNL,UTR100056,Bills
2024-10-08,18:51,14002,debit,Friend Transfer,Payment related to Friend Transfer,UTR100057,Transfer
2024-10-08,12:42,33605,debit,Flat Rent,Payment related to Flat Rent,UTR100058,Rent
2024-10-09,18:45,10381,debit,SBI Securities,Payment related to SBI Securities,UTR100059,Investment
2024-10-10,19:54,6767,debit,Flat Rent,Payment related to Flat Rent,UTR100060,Rent
2024-10-11,08:06,2826,debit,Airtel,Payment related to Airtel,UTR100061,Bills
2024-10-11,01:41,3222,debit,Dominos,Payment related to Dominos,UTR100062,Food
2024-10-11,07:53,10093,debit,Friend Transfer,Payment related to Friend Transfer,UTR100063,Transfer
2024-10-12,02:04,9630,debit,Zomato,Payment related to Zomato,UTR100064,Food
2024-10-13,11:49,39632,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100065,Salary
2024-10-14,11:30,296,debit,Airtel,Payment related to Airtel,UTR100066,Bills
2024-10-15,09:51,30960,debit,Mutual Fund,Payment related to Mutual Fund,UTR100067,Investment
2024-10-17,00:42,4112,debit,Friend Transfer,Payment related to Friend Transfer,UTR100068,Transfer
2024-10-20,04:24,18941,debit,Zepto,Payment related to Zepto,UTR100069,Groceries
2024-10-20,05:46,19399,debit,Zomato,Payment related to Zomato,UTR100070,Food
2024-10-20,02:43,28922,debit,Mutual Fund,Payment related to Mutual Fund,UTR100071,Investment
2024-10-21,09:45,14305,debit,Mutual Fund,Payment related to Mutual Fund,UTR100072,Investment
2024-10-22,16:27,4712,debit,Netflix,Payment related to Netflix,UTR100073,Entertainment
2024-10-22,12:35,4710,debit,Friend Transfer,Payment related to Friend Transfer,UTR100074,Transfer
2024-10-22,12:00,201,debit,Amazon,Payment related to Amazon,UTR100075,Shopping
2024-10-23,02:34,6159,debit,Airtel,Payment related to Airtel,UTR100076,Bills
2024-10-23,06:22,35077,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100077,Salary
2024-10-24,16:57,1017,debit,Hotstar,Payment related to Hotstar,UTR100078,Entertainment
2024-10-25,09:43,7872,debit,Hotstar,Payment related to Hotstar,UTR100079,Entertainment
2024-10-25,16:32,10592,debit,Hotstar,Payment related to Hotstar,UTR100080,Entertainment
2024-10-25,12:03,4685,debit,BigBasket,Payment related to BigBasket,UTR100081,Groceries
2024-10-26,21:17,21732,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100082,Salary
2024-10-26,13:05,1878,debit,Myntra,Payment related to Myntra,UTR100083,Shopping
2024-10-27,21:02,11599,debit,House Owner,Payment related to House Owner,UTR100084,Rent
2024-10-27,01:31,15759,debit,Hotstar,Payment related to Hotstar,UTR100085,Entertainment
2024-10-30,08:46,12555,debit,Self Account,Payment related to Self Account,UTR100086,Transfer
2024-10-30,16:35,12399,debit,Friend Transfer,Payment related to Friend Transfer,UTR100087,Transfer
2024-10-31,08:06,18055,debit,TNEB,Payment related to TNEB,UTR100088,Bills
2024-11-01,12:54,5081,debit,Amazon,Payment related to Amazon,UTR100089,Shopping
2024-11-01,23:16,856,debit,Ola,Payment related to Ola,UTR100090,Transport
2024-11-02,11:54,32694,debit,Mutual Fund,Payment related to Mutual Fund,UTR100091,Investment
2024-11-03,12:00,19174,debit,Flipkart,Payment related to Flipkart,UTR100092,Shopping
2024-11-03,20:12,3728,debit,BSNL,Payment related to BSNL,UTR100093,Bills
2024-11-03,00:42,43321,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100094,Salary
2024-11-04,02:16,41686,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100095,Salary
2024-11-05,08:29,3690,debit,BigBasket,Payment related to BigBasket,UTR100096,Groceries
2024-11-05,07:40,5371,debit,Uber,Payment related to Uber,UTR100097,Transport
2024-11-05,17:55,15152,debit,Flat Rent,Payment related to Flat Rent,UTR100098,Rent
2024-11-06,07:47,26852,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100099,Salary
2024-11-06,01:00,7940,debit,TNEB,Payment related to TNEB,UTR100100,Bills
2024-11-07,13:28,32584,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100101,Salary
2024-11-08,22:50,9971,debit,Airtel,Payment related to Airtel,UTR100102,Bills
2024-11-08,01:01,2803,debit,Friend Transfer,Payment related to Friend Transfer,UTR100103,Transfer
2024-11-08,14:16,19806,debit,BigBasket,Payment related to BigBasket,UTR100104,Groceries
2024-11-09,16:27,7759,debit,Blinkit,Payment related to Blinkit,UTR100105,Groceries
2024-11-09,03:58,9750,debit,Flat Rent,Payment related to Flat Rent,UTR100106,Rent
2024-11-11,17:08,4301,debit,Netflix,Payment related to Netflix,UTR100107,Entertainment
2024-11-12,13:09,9539,debit,Rapido,Payment related to Rapido,UTR100108,Transport
2024-11-13,06:49,4471,debit,Blinkit,Payment related to Blinkit,UTR100109,Groceries
2024-11-13,08:50,11423,debit,Swiggy,Payment related to Swiggy,UTR100110,Food
2024-11-15,21:53,4463,debit,BSNL,Payment related to BSNL,UTR100111,Bills
2024-11-15,15:50,10706,debit,Zomato,Payment related to Zomato,UTR100112,Food
2024-11-15,14:54,12038,debit,BigBasket,Payment related to BigBasket,UTR100113,Groceries
2024-11-16,05:22,23760,debit,Mutual Fund,Payment related to Mutual Fund,UTR100114,Investment
2024-11-19,07:54,4427,debit,Swiggy,Payment related to Swiggy,UTR100115,Food
2024-11-19,03:14,7186,debit,BSNL,Payment related to BSNL,UTR100116,Bills
2024-11-20,20:45,2213,debit,BookMyShow,Payment related to BookMyShow,UTR100117,Entertainment
2024-11-21,06:02,11673,debit,Flipkart,Payment related to Flipkart,UTR100118,Shopping
2024-11-22,07:03,13073,debit,Airtel,Payment related to Airtel,UTR100119,Bills
2024-11-23,22:13,5192,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100120,Salary
2024-11-23,08:00,39070,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100121,Salary
2024-11-23,19:55,959,debit,Myntra,Payment related to Myntra,UTR100122,Shopping
2024-11-25,22:21,17219,debit,Dominos,Payment related to Dominos,UTR100123,Food
2024-11-26,20:33,9737,debit,Amazon,Payment related to Amazon,UTR100124,Shopping
2024-11-27,11:09,669,debit,Dominos,Payment related to Dominos,UTR100125,Food
2024-11-28,18:56,11483,debit,Netflix,Payment related to Netflix,UTR100126,Entertainment
2024-11-28,08:54,679,debit,Zomato,Payment related to Zomato,UTR100127,Food
2024-11-29,18:25,15820,debit,Netflix,Payment related to Netflix,UTR100128,Entertainment
2024-11-30,09:52,19486,debit,Blinkit,Payment related to Blinkit,UTR100129,Groceries
2024-11-30,07:05,48781,debit,SBI Securities,Payment related to SBI Securities,UTR100130,Investment
2024-12-02,05:44,9697,debit,TNEB,Payment related to TNEB,UTR100131,Bills
2024-12-02,23:44,3980,debit,BookMyShow,Payment related to BookMyShow,UTR100132,Entertainment
2024-12-05,23:32,16299,debit,Hotstar,Payment related to Hotstar,UTR100133,Entertainment
2024-12-08,00:00,8107,debit,Self Account,Payment related to Self Account,UTR100134,Transfer
2024-12-08,12:09,11884,debit,Uber,Payment related to Uber,UTR100135,Transport
2024-12-08,21:13,4879,debit,Hotstar,Payment related to Hotstar,UTR100136,Entertainment
2024-12-09,05:06,33366,debit,SBI Securities,Payment related to SBI Securities,UTR100137,Investment
2024-12-09,02:08,45095,debit,SBI Securities,Payment related to SBI Securities,UTR100138,Investment
2024-12-09,02:43,9754,debit,House Owner,Payment related to House Owner,UTR100139,Rent
2024-12-10,20:54,8909,debit,Swiggy,Payment related to Swiggy,UTR100140,Food
2024-12-10,23:59,11928,debit,Amazon,Payment related to Amazon,UTR100141,Shopping
2024-12-10,16:38,4541,debit,Zomato,Payment related to Zomato,UTR100142,Food
2024-12-11,16:47,18800,debit,Rapido,Payment related to Rapido,UTR100143,Transport
2024-12-11,11:32,13815,debit,House Owner,Payment related to House Owner,UTR100144,Rent
2024-12-12,11:41,16444,debit,Ola,Payment related to Ola,UTR100145,Transport
2024-12-12,22:48,12118,debit,Zepto,Payment related to Zepto,UTR100146,Groceries
2024-12-14,06:51,536,debit,TNEB,Payment related to TNEB,UTR100147,Bills
2024-12-14,07:12,303,debit,Friend Transfer,Payment related to Friend Transfer,UTR100148,Transfer
2024-12-14,23:31,9799,debit,Friend Transfer,Payment related to Friend Transfer,UTR100149,Transfer
2024-12-15,05:02,4406,debit,Rapido,Payment related to Rapido,UTR100150,Transport
2024-12-17,00:24,11841,debit,Zomato,Payment related to Zomato,UTR100151,Food
2024-12-17,09:23,9907,debit,House Owner,Payment related to House Owner,UTR100152,Rent
2024-12-17,23:09,6829,debit,Amazon,Payment related to Amazon,UTR100153,Shopping
2024-12-18,16:46,12816,debit,BSNL,Payment related to BSNL,UTR100154,Bills
2024-12-18,12:06,398,debit,Friend Transfer,Payment related to Friend Transfer,UTR100155,Transfer
2024-12-18,19:59,5851,debit,SBI Securities,Payment related to SBI Securities,UTR100156,Investment
2024-12-20,13:43,4048,debit,Zepto,Payment related to Zepto,UTR100157,Groceries
2024-12-20,20:09,15687,debit,Airtel,Payment related to Airtel,UTR100158,Bills
2024-12-20,08:53,15929,debit,Zepto,Payment related to Zepto,UTR100159,Groceries
2024-12-22,21:02,9840,debit,Flat Rent,Payment related to Flat Rent,UTR100160,Rent
2024-12-22,16:21,17650,debit,Swiggy,Payment related to Swiggy,UTR100161,Food
2024-12-22,00:56,15010,debit,Myntra,Payment related to Myntra,UTR100162,Shopping
2024-12-23,00:13,10068,debit,Self Account,Payment related to Self Account,UTR100163,Transfer
2024-12-24,05:16,10838,debit,SBI Securities,Payment related to SBI Securities,UTR100164,Investment
2024-12-24,12:46,17070,debit,Swiggy,Payment related to Swiggy,UTR100165,Food
2024-12-25,17:02,16095,debit,Swiggy,Payment related to Swiggy,UTR100166,Food
2024-12-25,13:12,11185,debit,Zomato,Payment related to Zomato,UTR100167,Food
2024-12-25,04:00,16374,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100168,Salary
2024-12-26,14:02,13796,debit,Self Account,Payment related to Self Account,UTR100169,Transfer
2024-12-28,15:03,6607,debit,Flat Rent,Payment related to Flat Rent,UTR100170,Rent
2024-12-28,07:43,17922,debit,Flipkart,Payment related to Flipkart,UTR100171,Shopping
2024-12-29,09:18,1207,debit,Dominos,Payment related to Dominos,UTR100172,Food
2024-12-29,02:02,9349,debit,Friend Transfer,Payment related to Friend Transfer,UTR100173,Transfer
2024-12-29,12:38,47368,debit,SBI Securities,Payment related to SBI Securities,UTR100174,Investment
2024-12-30,04:33,7890,debit,SBI Securities,Payment related to SBI Securities,UTR100175,Investment
2024-12-31,19:22,15021,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100176,Salary
2024-12-31,23:48,27523,debit,Mutual Fund,Payment related to Mutual Fund,UTR100177,Investment
2025-01-02,06:06,211,debit,TNEB,Payment related to TNEB,UTR100178,Bills
2025-01-02,03:57,462,debit,Amazon,Payment related to Amazon,UTR100179,Shopping
2025-01-02,17:53,9901,debit,BSNL,Payment related to BSNL,UTR100180,Bills
2025-01-03,16:57,6099,debit,Netflix,Payment related to Netflix,UTR100181,Entertainment
2025-01-04,23:16,4709,debit,Amazon,Payment related to Amazon,UTR100182,Shopping
2025-01-04,20:31,34363,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100183,Salary
2025-01-04,21:03,10867,debit,Swiggy,Payment related to Swiggy,UTR100184,Food
2025-01-05,00:24,26250,debit,Mutual Fund,Payment related to Mutual Fund,UTR100185,Investment
2025-01-06,09:00,36680,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100186,Salary
2025-01-06,15:28,29196,debit,SBI Securities,Payment related to SBI Securities,UTR100187,Investment
2025-01-06,10:09,9264,debit,Self Account,Payment related to Self Account,UTR100188,Transfer
2025-01-07,01:52,1682,debit,Dominos,Payment related to Dominos,UTR100189,Food
2025-01-07,10:11,17018,debit,Netflix,Payment related to Netflix,UTR100190,Entertainment
2025-01-07,11:23,7638,debit,Myntra,Payment related to Myntra,UTR100191,Shopping
2025-01-08,12:22,19561,debit,Rapido,Payment related to Rapido,UTR100192,Transport
2025-01-10,22:17,3153,debit,Myntra,Payment related to Myntra,UTR100193,Shopping
2025-01-10,19:38,8683,debit,Zepto,Payment related to Zepto,UTR100194,Groceries
2025-01-11,15:57,15748,debit,Rapido,Payment related to Rapido,UTR100195,Transport
2025-01-11,14:20,18889,debit,Hotstar,Payment related to Hotstar,UTR100196,Entertainment
2025-01-11,10:27,29884,debit,SBI Securities,Payment related to SBI Securities,UTR100197,Investment
2025-01-13,12:29,10633,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100198,Salary
2025-01-13,04:53,16050,debit,Friend Transfer,Payment related to Friend Transfer,UTR100199,Transfer
2025-01-15,10:26,24343,debit,Mutual Fund,Payment related to Mutual Fund,UTR100200,Investment
2025-01-15,09:14,11321,debit,Swiggy,Payment related to Swiggy,UTR100201,Food
2025-01-15,15:36,15024,debit,Myntra,Payment related to Myntra,UTR100202,Shopping
2025-01-17,14:35,17742,debit,Hotstar,Payment related to Hotstar,UTR100203,Entertainment
2025-01-17,09:32,14678,debit,BookMyShow,Payment related to BookMyShow,UTR100204,Entertainment
2025-01-17,03:38,6454,debit,Uber,Payment related to Uber,UTR100205,Transport
2025-01-19,15:28,7159,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100206,Salary
2025-01-19,16:44,6936,debit,Flipkart,Payment related to Flipkart,UTR100207,Shopping
2025-01-20,19:33,7738,debit,Dominos,Payment related to Dominos,UTR100208,Food
2025-01-20,00:50,7827,debit,BookMyShow,Payment related to BookMyShow,UTR100209,Entertainment
2025-01-20,05:33,7927,debit,Airtel,Payment related to Airtel,UTR100210,Bills
2025-01-21,07:17,38477,debit,SBI Securities,Payment related to SBI Securities,UTR100211,Investment
2025-01-22,00:57,3530,debit,Myntra,Payment related to Myntra,UTR100212,Shopping
2025-01-22,14:06,7213,debit,Ola,Payment related to Ola,UTR100213,Transport
2025-01-23,16:51,20738,debit,Flat Rent,Payment related to Flat Rent,UTR100214,Rent
2025-01-24,11:25,7703,debit,Airtel,Payment related to Airtel,UTR100215,Bills
2025-01-24,12:03,312,debit,Uber,Payment related to Uber,UTR100216,Transport
2025-01-24,04:29,1240,debit,Friend Transfer,Payment related to Friend Transfer,UTR100217,Transfer
2025-01-25,23:41,10241,debit,Self Account,Payment related to Self Account,UTR100218,Transfer
2025-01-25,22:13,12134,debit,TNEB,Payment related to TNEB,UTR100219,Bills
2025-01-25,02:31,14097,debit,Blinkit,Payment related to Blinkit,UTR100220,Groceries
2025-01-26,01:00,13960,debit,Rapido,Payment related to Rapido,UTR100221,Transport
2025-01-27,14:59,7053,debit,Zomato,Payment related to Zomato,UTR100222,Food
2025-01-27,04:53,2642,debit,BSNL,Payment related to BSNL,UTR100223,Bills
2025-01-28,04:31,12059,debit,Rapido,Payment related to Rapido,UTR100224,Transport
2025-01-29,01:21,12838,debit,BSNL,Payment related to BSNL,UTR100225,Bills
2025-01-30,06:59,14080,debit,TNEB,Payment related to TNEB,UTR100226,Bills
2025-02-01,15:58,19822,debit,Blinkit,Payment related to Blinkit,UTR100227,Groceries
2025-02-01,18:36,34385,debit,Mutual Fund,Payment related to Mutual Fund,UTR100228,Investment
2025-02-02,13:52,9176,debit,Amazon,Payment related to Amazon,UTR100229,Shopping
2025-02-03,00:26,4636,debit,Dominos,Payment related to Dominos,UTR100230,Food
2025-02-04,01:21,16386,debit,Hotstar,Payment related to Hotstar,UTR100231,Entertainment
2025-02-05,11:17,39282,debit,House Owner,Payment related to House Owner,UTR100232,Rent
2025-02-05,10:35,13070,debit,Swiggy,Payment related to Swiggy,UTR100233,Food
2025-02-05,16:11,9537,debit,SBI Securities,Payment related to SBI Securities,UTR100234,Investment
2025-02-06,08:21,7740,debit,Flat Rent,Payment related to Flat Rent,UTR100235,Rent
2025-02-07,14:31,8104,debit,Flipkart,Payment related to Flipkart,UTR100236,Shopping
2025-02-08,17:33,6414,debit,Ola,Payment related to Ola,UTR100237,Transport
2025-02-08,05:01,13790,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100238,Salary
2025-02-09,13:23,6238,debit,BSNL,Payment related to BSNL,UTR100239,Bills
2025-02-10,20:04,9095,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100240,Salary
2025-02-10,16:47,4651,debit,Amazon,Payment related to Amazon,UTR100241,Shopping
2025-02-10,09:49,13788,debit,Friend Transfer,Payment related to Friend Transfer,UTR100242,Transfer
2025-02-12,03:37,6786,debit,Friend Transfer,Payment related to Friend Transfer,UTR100243,Transfer
2025-02-13,14:50,17175,debit,Airtel,Payment related to Airtel,UTR100244,Bills
2025-02-16,07:27,7841,debit,Flipkart,Payment related to Flipkart,UTR100245,Shopping
2025-02-16,02:09,32093,debit,SBI Securities,Payment related to SBI Securities,UTR100246,Investment
2025-02-16,15:06,12654,debit,Airtel,Payment related to Airtel,UTR100247,Bills
2025-02-17,07:00,8807,debit,Zomato,Payment related to Zomato,UTR100248,Food
2025-02-17,08:16,37079,debit,House Owner,Payment related to House Owner,UTR100249,Rent
2025-02-17,22:31,15349,debit,BSNL,Payment related to BSNL,UTR100250,Bills
2025-02-18,15:38,17270,debit,BigBasket,Payment related to BigBasket,UTR100251,Groceries
2025-02-18,07:54,17898,debit,BookMyShow,Payment related to BookMyShow,UTR100252,Entertainment
2025-02-18,06:29,18067,debit,Netflix,Payment related to Netflix,UTR100253,Entertainment
2025-02-19,22:18,17196,debit,BSNL,Payment related to BSNL,UTR100254,Bills
2025-02-19,00:27,14722,debit,Rapido,Payment related to Rapido,UTR100255,Transport
2025-02-20,10:27,10133,debit,Uber,Payment related to Uber,UTR100256,Transport
2025-02-21,14:57,29565,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100257,Salary
2025-02-21,02:27,32972,debit,Flat Rent,Payment related to Flat Rent,UTR100258,Rent
2025-02-21,19:17,18023,debit,Zomato,Payment related to Zomato,UTR100259,Food
2025-02-22,10:30,1405,debit,Swiggy,Payment related to Swiggy,UTR100260,Food
2025-02-23,09:01,3708,debit,Flipkart,Payment related to Flipkart,UTR100261,Shopping
2025-02-24,18:23,46895,debit,Mutual Fund,Payment related to Mutual Fund,UTR100262,Investment
2025-02-24,17:24,36817,debit,SBI Securities,Payment related to SBI Securities,UTR100263,Investment
2025-02-25,01:38,40417,debit,SBI Securities,Payment related to SBI Securities,UTR100264,Investment
2025-02-25,01:46,9724,debit,Rapido,Payment related to Rapido,UTR100265,Transport
2025-02-25,07:40,1259,debit,Hotstar,Payment related to Hotstar,UTR100266,Entertainment
2025-02-27,15:16,13043,debit,Self Account,Payment related to Self Account,UTR100267,Transfer
2025-02-27,21:58,4099,debit,Zomato,Payment related to Zomato,UTR100268,Food
2025-02-27,07:37,2535,debit,Hotstar,Payment related to Hotstar,UTR100269,Entertainment
2025-02-28,00:15,5085,debit,Myntra,Payment related to Myntra,UTR100270,Shopping
2025-02-28,03:37,19347,debit,Myntra,Payment related to Myntra,UTR100271,Shopping
2025-03-01,17:28,40417,debit,Mutual Fund,Payment related to Mutual Fund,UTR100272,Investment
2025-03-01,13:09,14259,debit,Amazon,Payment related to Amazon,UTR100273,Shopping
2025-03-02,18:28,17345,debit,Blinkit,Payment related to Blinkit,UTR100274,Groceries
2025-03-02,19:38,1073,debit,Amazon,Payment related to Amazon,UTR100275,Shopping
2025-03-02,01:00,17415,debit,BigBasket,Payment related to BigBasket,UTR100276,Groceries
2025-03-04,20:00,607,debit,Netflix,Payment related to Netflix,UTR100277,Entertainment
2025-03-04,07:50,9093,debit,BSNL,Payment related to BSNL,UTR100278,Bills
2025-03-04,23:47,14143,debit,Hotstar,Payment related to Hotstar,UTR100279,Entertainment
2025-03-05,15:49,867,debit,Self Account,Payment related to Self Account,UTR100280,Transfer
2025-03-05,20:11,11321,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100281,Salary
2025-03-06,03:19,5724,debit,Zepto,Payment related to Zepto,UTR100282,Groceries
2025-03-07,14:16,39232,debit,Mutual Fund,Payment related to Mutual Fund,UTR100283,Investment
2025-03-07,21:02,3125,debit,Friend Transfer,Payment related to Friend Transfer,UTR100284,Transfer
2025-03-07,02:10,9798,debit,Self Account,Payment related to Self Account,UTR100285,Transfer
2025-03-10,01:17,15042,debit,Hotstar,Payment related to Hotstar,UTR100286,Entertainment
2025-03-11,11:28,49792,debit,Flat Rent,Payment related to Flat Rent,UTR100287,Rent
2025-03-11,17:32,8179,debit,BigBasket,Payment related to BigBasket,UTR100288,Groceries
2025-03-12,21:48,17408,debit,Blinkit,Payment related to Blinkit,UTR100289,Groceries
2025-03-13,19:06,26678,debit,House Owner,Payment related to House Owner,UTR100290,Rent
2025-03-14,17:16,15773,debit,Uber,Payment related to Uber,UTR100291,Transport
2025-03-14,07:46,1041,debit,BigBasket,Payment related to BigBasket,UTR100292,Groceries
2025-03-14,20:02,17819,debit,TNEB,Payment related to TNEB,UTR100293,Bills
2025-03-15,18:24,34992,debit,Flat Rent,Payment related to Flat Rent,UTR100294,Rent
2025-03-15,19:58,15486,debit,Friend Transfer,Payment related to Friend Transfer,UTR100295,Transfer
2025-03-15,06:07,8919,debit,Self Account,Payment related to Self Account,UTR100296,Transfer
2025-03-16,15:17,4422,debit,Ola,Payment related to Ola,UTR100297,Transport
2025-03-17,01:08,1119,debit,Swiggy,Payment related to Swiggy,UTR100298,Food
2025-03-17,02:00,16611,debit,Self Account,Payment related to Self Account,UTR100299,Transfer
2025-03-18,22:00,33233,debit,SBI Securities,Payment related to SBI Securities,UTR100300,Investment
2025-03-18,23:03,13006,debit,Hotstar,Payment related to Hotstar,UTR100301,Entertainment
2025-03-19,20:37,16775,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100302,Salary
2025-03-19,17:41,2833,debit,BookMyShow,Payment related to BookMyShow,UTR100303,Entertainment
2025-03-19,14:33,16659,debit,BigBasket,Payment related to BigBasket,UTR100304,Groceries
2025-03-20,13:06,9689,debit,Amazon,Payment related to Amazon,UTR100305,Shopping
2025-03-20,21:32,40487,debit,House Owner,Payment related to House Owner,UTR100306,Rent
2025-03-20,16:18,20441,credit,Company Pvt Ltd,Payment related to Company Pvt Ltd,UTR100307,Salary
2025-03-21,17:34,10053,debit,Dominos,Payment related to Dominos,UTR100308,Food
2025-03-22,17:14,14140,debit,Dominos,Payment related to Dominos,UTR100309,Food
